ROL_SII;NOMBRE;COMUNA;REGION;LAT;LON
"8000-18";"AVENIDA LA PLAYA 332 LOTE U IV COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.61233087548374";"-71.62208538810022"
"6001-23";"WASHINGTON 36 PISO 1 LOTE 7 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.05355069037583";"-71.6017353090116"
"92-1";"URRIOLA 365 PISO 1 DEPARTAMENTO A COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04081278601359";"-71.62761172534633"
"73-1";"YUNGAY 1827 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04532620505379";"-71.61762293533597"
"43-4";"BRASIL NUMERO 1585 1589 1596 ESQUINA MOLINA CON BLANCO NUMERO 1574 1580 1586 1592 1596 COMUNA";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.04429867116452";"-71.61992857995497"
"6114-9";"RAMADITAS 1104 - 1126 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.059543048347976";"-71.59603830488388"
"213-3";"RETAMO 707 PISO 2; RETAMO 709 PISO 1 LOTE B; COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.05095631249919";"-71.607255377622"
"90-29";"TOMAS RAMOS 132 AL 144 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.03951410197293";"-71.6308006810627"
"8404-51";"ISRAEL ROIZBLAT 61 LOTE L-1 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.05719820973432";"-71.56086775116336"
"71-1";"PLAZA SIMON BOLIVAR 1653 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.045026766425245";"-71.61940596946854"
"9305-18";"LA POLVORA LOTE B-2 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.0663312964268";"-71.63156764959223"
"177-3";"EDWARDS 681 AL 695 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.047775811515294";"-71.61945853636566"
"4091-2/4091/13/4091-14/4091-15/4091-16/4091-17/4091-18/4091-19/4091-20/4091-21";"BAQUEDANO 113 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.05165426102753";"-71.61419523648874"
"48-44";"FREIRE 124 COMUNA VALPARAISO";"VALPARAISO";"05- REGION DE VALPARAÍSO";"-33.044431422082226";"-71.61487215526705"
