REGION;ROL;NOMBRE;COMUNA;LAT;LON
"Antofagasta";"2001-8";"MORRO MORENO COMUNA MEJILLONES";"MEJILLONES";"-23.103898739407228";"-70.51002441816765"
"Antofagasta";"895-7";"BOLIVAR 188 COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-23.64407034707555";"-70.39806636840933"
"Antofagasta";"100-5";"21 DE MAYO 1692 COMUNA TOCOPILLA";"TOCOPILLA";"-22.093051710907243";"-70.20007812709193"
"Antofagasta";"20000-53";"A APROX 1,2 KM AL SUROESTE DE LA CARCEL DE ANTOFAGASTA COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-23.615605436958564";"-70.27695952826687"
"Antofagasta";"49000-12";"SALAR DE IMILAC SIN NUMERO COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-24.110218473136005";"-68.79236059059195"
"Antofagasta";"10000-52";"KM 1503,4 RUTA 5 COMUNA MARIA ELENA";"MARIA ELENA";"-22.748616753174566";"-69.55100448948299"
"Antofagasta";"16176-1";"LA CHIMBA CIUDAD DE ANTOFAGASTA COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-23.52428770620343";"-70.39385739093878"
"Antofagasta";"849-45";"LATORRE 2579 DEPARTAMENTO 302 COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-23.648069798656085";"-70.39763974480344"
"Antofagasta";"49000-11";"SALAR DE IMILAC SIN NUMERO COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-24.114664078735554";"-68.77153663774453"
"Antofagasta";"49000-10";"SALAR DE IMILAC SIN NUMERO COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-24.10772534504665";"-68.62920598703633"
"Antofagasta";"8000-85";"CAMINO A MINERA CENTINELLA KM II COMUNA SIERRA GORDA";"SIERRA GORDA";"-22.902945310066567";"-69.22226602586105"
"Antofagasta";"6070-33";"MANZANA 6 A LOTE 1 SECTOR TOPATER COMUNA CALAMA";"CALAMA";"-22.486465102871243";"-68.911905446928"
"Antofagasta";"17000-76";"A APROX 7,3 KM AL ESTE DE LA CIUDAD DE CALAMA COMUNA CALAMA";"CALAMA";"-22.462407118058948";"-68.82425932252572"
"Antofagasta";"3016-1";"POBLACION COVIEFI SIN NUMERO COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-23.694979873461236";"-70.41411882196059"
"Antofagasta";"2510-12";"KM 13 RUTA 26 COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-23.623090354736522";"-70.28455876870336"
"Antofagasta";"NO ENROLADO";"3 KMS NORESTE DE SAN PEDRO DE ATACAMA LOTE 1 COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.88772349148234";"-68.18766547397016"
"Antofagasta";"25051-7";"SECTOR NUDO URIBE SIN NUMERO COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-23.61164547779946";"-70.26000166145639"
"Antofagasta";"339-1";"CALETA PUNTA ATALA COMUNA TOCOPILLA";"TOCOPILLA";"-22.29653884819643";"-70.2375742539057"
"Antofagasta";"4103-17";"SITIO 5 MANZANA C SECTOR ADUANA COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.91152320301415";"-68.19442712545178"
"Antofagasta";"5999-2";"CERRO EL DIQUE COMUNA TOCOPILLA";"TOCOPILLA";"-22.439112839715154";"-70.10336047970218"
"Antofagasta";"3429-1";"CAMPO DEPORTIVO COMUNA OLLAGUE";"OLLAGUE";"-21.222972254968095";"-68.25503853076623"
"Antofagasta";"4101-5";"MANZANA A EQUIPAMIENTO COMUNITARIO 05 SECTOR ADUANA COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.911915126320615";"-68.19369878970559"
"Antofagasta";"4102-7";"CALLE LASCAR EQUIPAMIENTO 3 COMUNA SAN PEDRO DE ATACAMA";"SAN PEDRO DE ATACAMA";"-22.914022384407232";"-68.19301165916174"
"Antofagasta";"NO ENROLADO";"SECTOR NORTE DE TOCOPILLA COMUNA TOCOPILLA";"TOCOPILLA";"-22.063202351131267";"-70.18594255772558"
"Antofagasta";"8000-87";"A APROX 13,5 KM AL SURESTE DE LA LOCALIDAD DE SIERRA GORDA COMUNA SIERRA GORDA";"SIERRA GORDA";"-23.014511453329046";"-69.25091403073601"
"Antofagasta";"359-8";"SECTOR BARRILES COMUNA TOCOPILLA";"TOCOPILLA";"-22.153212090585658";"-69.99391377858073"
"Antofagasta";"8001-5";"LOCALIDAD DE MICHILLA COMUNA MEJILLONES";"MEJILLONES";"-22.715054009164383";"-70.26688315107445"
"Antofagasta";"327-24";"SECTOR BARRILES RUTA 24 KM 18 COMUNA TOCOPILLA";"TOCOPILLA";"-22.173277927660273";"-70.09077052716171"
"Antofagasta";"6700-67";"SECTOR SUBESTACION ELECTRICA MARIA ELENA SIN NUMERO COMUNA MARIA ELENA";"MARIA ELENA";"-22.228766197063564";"-69.55953504296298"
"Antofagasta";"45004-14";"A APROX 67 KM AL SURESTE DE LA CIUDAD DE ANTOFAGASTA SIN NUMERO COMUNA ANTOFAGASTA";"ANTOFAGASTA";"-24.0871594097066";"-69.91022921927842"
"Antofagasta";"NO ENROLADO";"APROX A 12,5 KM AL SUROESTE DE LA CIUDAD DE CALAMA COMUNA CALAMA";"CALAMA";"-22.588447585776482";"-68.98309809790659"
