REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;VALOR_UF;VALOR_USD
"13- REGION METROPOLITANA";"SAN BERNARDO";"4590-1";"HIJUELA LA OBRA DE CHENA LOTE A Y LOTE B COMUNA SAN BERNARDO";"4497500";"..";"1-disponible/recuperable";"26985000";"1147799874"
"13- REGION METROPOLITANA";"NUNOA";"6115-1";"GRECIA 2001 COMUNA NUNOA";"576602";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"24217284";"1030075802"
"05- REGION DE VALPARAÍSO";"SAN ANTONIO";"9060-2";"SOTERO DEL RIO INTERIOR LOCALIDAD SAN JUAN COMUNA SAN ANTONIO";"1219200";"PERMISO OCUPACION";"2-posible";"9753600";"414866809"
"13- REGION METROPOLITANA";"SANTIAGO";"3812-1";"PEDRO MONTT 1606 COMUNA SANTIAGO - ISABEL RIQUELME 1651 COMUNA PEDRO AGUIRRE CERDA";"94260";"..";"1-disponible/recuperable";"3299084";"140325670"
"13- REGION METROPOLITANA";"NUNOA";"6133-217 - 6133-67";"PEDRO DE VALDIVIA 4650 COMUNA NUNOA";"57569";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"2417889";"102844272"
"13- REGION METROPOLITANA";"LO BARNECHEA";"3519-1";"LA DEHESA 215 LOTE B-2 COMUNA LO BARNECHEA";"59157";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"2366300";"100649948"
"08- REGION DEL BIOBIO";"TALCAHUANO";"1530-2";"LOTE 1-3 SECTOR EL MORRO COMUNA TALCAHUANO";"179396";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"2152747";"91566527"
"13- REGION METROPOLITANA";"QUINTA NORMAL";"11018";"PARQUE DE LA FAMILIA COMUNA QUINTA NORMAL";"115832";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"1853312";"78830138"
"05- REGION DE VALPARAÍSO";"SAN ANTONIO";"8000-18";"AVENIDA LA PLAYA 332 LOTE U IV COMUNA SAN ANTONIO";"228904";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"1831231";"77890929"
"05- REGION DE VALPARAÍSO";"VINA DEL MAR";"2023-66";"RANCAGUA PROYECTADA COMUNA VINA DEL MAR";"60000";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"1500000";"63802105"
