REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;CONF;VALOR_UF;VALOR_USD
Metropolitana;SANTIAGO;3812-1;PEDRO MONTT 1606 COMUNA SANTIAGO - ISABEL RIQUELME 1651 COMUNA PEDRO AGUIRRE CERDA;94260;..;1-disponible/recuperable;Centro (ref. mercado);3299084;140325670
Metropolitana;NUNOA;6133-217 - 6133-67;PEDRO DE VALDIVIA 4650 COMUNA NUNOA;57569;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);2417889;102844272
Metropolitana;LO BARNECHEA;3519-1;LA DEHESA 215 LOTE B-2 COMUNA LO BARNECHEA;59157;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);2366300;100649948
Valparaíso;VINA DEL MAR;2023-66;RANCAGUA PROYECTADA COMUNA VINA DEL MAR;60000;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);1500000;63802105
Metropolitana;SAN JOAQUIN;5110-1;VICUNA MACKENNA 5065 COMUNA SAN JOAQUIN;84835;..;1-disponible/recuperable;Centro (ref. mercado);1442188;61343087
Metropolitana;LO BARNECHEA;3519-18;LOTE F-2 COMUNA LO BARNECHEA;35838;..;1-disponible/recuperable;Centro (ref. mercado);1433513;60974098
Metropolitana;SANTIAGO;84-1;TEATINOS 120 COMUNA SANTIAGO;40446;..;1-disponible/recuperable;Centro (ref. mercado);1415594;60211918
Metropolitana;NUNOA;51-1;BROWN NORTE 105 COMUNA NUNOA;30760;PERMISO OCUPACION;2-posible;Centro (ref. mercado);1291899;54950584
Metropolitana;SAN JOAQUIN;1010-3;CARLOS VALDOVINOS 279 COMUNA SAN JOAQUIN;73000;..;1-disponible/recuperable;Centro (ref. mercado);1241000;52785608
Metropolitana;INDEPENDENCIA;2150-1;SAN JOSE 1053 Y BELISARIO PRATS 1587 COMUNA INDEPENDENCIA;56149;..;1-disponible/recuperable;Centro (ref. mercado);1235269;52541842
Metropolitana;QUINTA NORMAL;4044-38;COSTANERA SUR LOTE 4 COMUNA QUINTA NORMAL;74142;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);1186272;50457767
Valparaíso;VINA DEL MAR;2360-8/2360-17/2360-18;ALESSANDRI SIN NUMERO RESTO DEL PREDIO 8 LOTE 3 COMUNA VINA DEL MAR;36074;..;1-disponible/recuperable;Centro (ref. mercado);901846;38359782
Metropolitana;SANTIAGO;51-1;PLAZA DE LA CIUDADANIA COMUNA SANTIAGO;23974;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);839088;35690387
