REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;VALOR_UF;VALOR_USD
"Antofagasta";"ANTOFAGASTA";"20000-37";"LOTE 3C SECTOR CHAQUETA BLANCA COMUNA ANTOFAGASTA";"76800";"CONCESION GRATUITA";"2-posible";"1152000";"49000017"
"Antofagasta";"ANTOFAGASTA";"6770-2";"LOTE B BARRIO INDUSTRIAL LA NEGRA SIN NUMERO COMUNA ANTOFAGASTA";"75697";"CONCESION GRATUITA";"2-posible";"1135462";"48296577"
"Antofagasta";"ANTOFAGASTA";"1-14536";"LOTE G ALTOS LA PORTADA COMUNA ANTOFAGASTA";"74350";"CONCESION GRATUITA";"2-posible";"1115250";"47436865"
"Antofagasta";"ANTOFAGASTA";"16178-1";"AVENIDA CIRCUNVALACION NORTE B COMUNA ANTOFAGASTA";"73305";"CONCESION GRATUITA";"2-posible";"1099575";"46770133"
"Antofagasta";"ANTOFAGASTA";"6746-1";"HECTOR GOMEZ COBO SIN NUMERO LA NEGRA EXTENSION NORTE COMUNA ANTOFAGASTA";"61298";"ARRENDAMIENTO";"2-posible";"919466";"39109244"
"Antofagasta";"ANTOFAGASTA";"6744-6";"LOTE 6 SECTOR LA NEGRA EXTENSION NORTE COMUNA ANTOFAGASTA";"60001";"CONCESION A TITULO ONEROSO";"2-posible";"900018";"38282029"
"Antofagasta";"ANTOFAGASTA";"25049-1";"NUDO URIBE COMUNA ANTOFAGASTA";"56947";"ARRENDAMIENTO";"2-posible";"854200";"36333172"
"Antofagasta";"ANTOFAGASTA";"1037-3";"LOTE A SECTOR ALTO LA PORTADA COMUNA ANTOFAGASTA";"55100";"CONCESION GRATUITA";"2-posible";"826500";"35154960"
"Antofagasta";"ANTOFAGASTA";"6800-33";"SECTOR MINERA ZALDIVAR COMUNA ANTOFAGASTA";"49500";"ARRENDAMIENTO";"2-posible";"742500";"31582042"
"Antofagasta";"ANTOFAGASTA";"1-14532";"LOTE C ALTOS LA PORTADA COMUNA ANTOFAGASTA";"38728";"CONCESION GRATUITA";"2-posible";"580920";"24709279"
"Antofagasta";"CALAMA";"3801-3";"ACCESO SUR DE CALAMA LOTE A COMUNA CALAMA";"68000";"CONCESION A TITULO ONEROSO";"2-posible";"544000";"23138897"
"Antofagasta";"CALAMA";"3801-2";"ACCESO SUR DE CALAMA LOTE A COMUNA CALAMA";"68000";"CONCESION A TITULO ONEROSO";"2-posible";"544000";"23138897"
