id;rol;comuna;destino;ah;valor_m2_clp;rango_sup;avaluo_total_clp;lat;lon
"2";"159-1";"SANTIAGO";"OFICINA";"CMM013";"3005620";"200 - 2.350";"20209903113";"-33.43812";"-70.65322"
"3";"1005-4";"SANTIAGO";"COMERCIO";"XMA036";"0";"";"37906119";"-33.440896";"-70.638613"
"4";"107-254";"SANTIAGO";"COMERCIO";"CMA065";"0";"";"6338924439";"-33.440812";"-70.654431"
"5";"3240-1";"";"";"";"0";"";"0";"";""
"6";"7188-1";"";"";"";"0";"";"0";"";""
"7";"36-10";"SANTIAGO";"ADM. PUBLICA Y DEFENSA";"CMA064";"2173177";"400 - 2.400";"49827249693";"-33.442715";"-70.655051"
"8";"3963-7";"";"";"";"0";"";"0";"";""
"9";"176-3";"SANTIAGO";"ESTACIONAMIENTO";"XMM011";"2193715";"120 - 870";"2141857663";"-33.436502";"-70.646462"
"10";"5835-1";"";"";"";"0";"";"0";"";""
"11";"5444-7";"";"";"";"0";"";"0";"";""
"12";"35-58";"SANTIAGO";"ADM. PUBLICA Y DEFENSA";"CMA064";"2173177";"400 - 2.400";"8983534786";"-33.443704";"-70.654763"
"13";"1230-8";"";"";"";"0";"";"0";"";""
"14";"35-32";"SANTIAGO";"OFICINA";"CMA064";"0";"";"829304855";"-33.444126";"-70.654663"
"15";"42-50";"SANTIAGO";"OFICINA";"XMM018";"2300695";"290 - 3.700";"2222439716";"-33.443325";"-70.656344"
"16";"6020-2";"";"";"";"0";"";"0";"";""
"17";"276-1";"SANTIAGO";"EDUCACION Y CULTURA";"CMM007";"2750404";"500 - 3.300";"25947914739";"-33.431498";"-70.657147"
"18";"35-58";"SANTIAGO";"ADM. PUBLICA Y DEFENSA";"CMA064";"2173177";"400 - 2.400";"8983534786";"-33.443704";"-70.654763"
"19";"3513-3";"";"";"";"0";"";"0";"";""
"20";"109-745";"SANTIAGO";"OFICINA";"CMA065";"0";"";"402810900";"-33.440289";"-70.656085"
"21";"151-11";"";"";"";"0";"";"0";"";""
"22";"1382-2";"";"";"";"0";"";"0";"";""
"23";"536-15";"";"";"";"0";"";"0";"";""
"24";"154-97";"SANTIAGO";"OFICINA";"CMA015";"0";"";"835920704";"-33.437873";"-70.648208"
"25";"676-2";"";"";"";"0";"";"0";"";""
"26";"2523-12";"";"";"";"0";"";"0";"";""
"27";"362-159";"";"";"";"0";"";"0";"";""
"28";"6434-14";"";"";"";"0";"";"0";"";""
"29";"541-33";"";"";"";"0";"";"0";"";""
"30";"3193-11";"";"";"";"0";"";"0";"";""
"31";"546-1";"";"";"";"0";"";"0";"";""
"32";"3519-18";"";"";"";"0";"";"0";"";""
"33";"84-1";"SANTIAGO";"OFICINA";"CMA064";"2173177";"400 - 2.400";"25345691536";"-33.442031";"-70.655137"
"34";"2516-39";"";"";"";"0";"";"0";"";""
"35";"2214-4";"";"";"";"0";"";"0";"";""
"36";"603-1";"";"";"";"0";"";"0";"";""
"37";"5004-224";"";"";"";"0";"";"0";"";""
"38";"177-2";"";"";"";"0";"";"0";"";""
"39";"177-3";"";"";"";"0";"";"0";"";""
"40";"4031-81";"";"";"";"0";"";"0";"";""
"41";"197-20";"";"";"";"0";"";"0";"";""
"42";"1352-23";"";"";"";"0";"";"0";"";""
"43";"145-23";"CHILLÁN";"COMERCIO";"XMB091";"0";"";"109973379";"-36.609394";"-72.105449"
"44";"64-24";"CHILLÁN";"OFICINA";"HMB011";"156630";"100 - 500";"36323706";"-36.603388";"-72.105927"
"45";"104-12";"";"";"";"0";"";"0";"";""
"46";"3812-1";"";"";"";"0";"";"0";"";""
"47";"5110-1";"";"";"";"0";"";"0";"";""
"48";"1010-3";"";"";"";"0";"";"0";"";""
"49";"2150-1";"";"";"";"0";"";"0";"";""
"50";"12681-1";"";"";"";"0";"";"0";"";""
"51";"334-910";"";"";"";"0";"";"0";"";""
"52";"2360-14";"";"";"";"0";"";"0";"";""
"53";"2282-29";"";"";"";"0";"";"0";"";""
"54";"708-1";"";"";"";"0";"";"0";"";""
"55";"1107-1";"";"";"";"0";"";"0";"";""
"56";"2466-461";"";"";"";"0";"";"0";"";""
"57";"6003-1";"";"";"";"0";"";"0";"";""
"58";"4303-6";"";"";"";"0";"";"0";"";""
"59";"8295-1";"";"";"";"0";"";"0";"";""
"60";"2360-9";"";"";"";"0";"";"0";"";""
"61";"17-1";"ISLA DE PASCUA";"HABITACIONAL";"HMB004";"14109";"480 - 10.000";"109285563";"";""
"62";"3110-5";"";"";"";"0";"";"0";"";""
"63";"1319-1";"";"";"";"0";"";"0";"";""
"64";"783-2";"";"";"";"0";"";"0";"";""
"65";"1502-593";"";"";"";"0";"";"0";"";""
"66";"2380-22";"";"";"";"0";"";"0";"";""
"67";"2045-1";"";"";"";"0";"";"0";"";""
"68";"1223-18";"";"";"";"0";"";"0";"";""
"69";"6815-8";"";"";"";"0";"";"0";"";""
"70";"6114-9";"";"";"";"0";"";"0";"";""
"71";"1001-43";"";"";"";"0";"";"0";"";""
"72";"39-8";"ISLA DE PASCUA";"HABITACIONAL";"HMB004";"14109";"480 - 10.000";"21141338";"";""
"73";"2284-16";"";"";"";"0";"";"0";"";""
"74";"2469-954";"";"";"";"0";"";"0";"";""
"75";"35-21";"";"";"";"0";"";"0";"";""
"76";"663-25";"";"";"";"0";"";"0";"";""
"77";"8157-1";"";"";"";"0";"";"0";"";""
"78";"366-15";"";"";"";"0";"";"0";"";""
"79";"93-2";"";"";"";"0";"";"0";"";""
"80";"8103-38";"";"";"";"0";"";"0";"";""
"82";"143-1";"CHILLÁN";"HABITACIONAL";"XMB005";"172347";"110 - 770";"34925706";"-36.60759";"-72.109324"
"83";"177-5";"";"";"";"0";"";"0";"";""
"84";"2823-24";"";"";"";"0";"";"0";"";""
"85";"2360-8";"";"";"";"0";"";"0";"";""
"86";"615-1";"";"";"";"0";"";"0";"";""
"87";"335-34";"";"";"";"0";"";"0";"";""
"88";"1530-1";"";"";"";"0";"";"0";"";""
"89";"229-8";"";"";"";"0";"";"0";"";""
"90";"1099-9";"";"";"";"0";"";"0";"";""
"91";"213-3";"";"";"";"0";"";"0";"";""
"92";"73-1";"";"";"";"0";"";"0";"";""
"93";"670-264";"";"";"";"0";"";"0";"";""
"95";"1571-3";"";"";"";"0";"";"0";"";""
"96";"5396-2";"";"";"";"0";"";"0";"";""
"97";"2576-1";"";"";"";"0";"";"0";"";""
"98";"6403-1";"";"";"";"0";"";"0";"";""
"99";"710-33";"";"";"";"0";"";"0";"";""
"100";"3930-2";"";"";"";"0";"";"0";"";""
"101";"4065-10";"";"";"";"0";"";"0";"";""
"102";"793-11";"";"";"";"0";"";"0";"";""
"103";"1012-256";"";"";"";"0";"";"0";"";""
"104";"1101-2";"";"";"";"0";"";"0";"";""
"105";"5513-187";"";"";"";"0";"";"0";"";""
"106";"356-1";"";"";"";"0";"";"0";"";""
"107";"4246-26";"";"";"";"0";"";"0";"";""
"108";"1079-2";"";"";"";"0";"";"0";"";""
"109";"963-5";"";"";"";"0";"";"0";"";""
"110";"12292-76";"";"";"";"0";"";"0";"";""
"111";"5082-9";"";"";"";"0";"";"0";"";""
"112";"1233-188";"";"";"";"0";"";"0";"";""
"113";"5843-1";"";"";"";"0";"";"0";"";""
"114";"3095-91";"";"";"";"0";"";"0";"";""
"115";"838-905";"";"";"";"0";"";"0";"";""
"116";"5271-1";"";"";"";"0";"";"0";"";""
"117";"4705-11";"";"";"";"0";"";"0";"";""
"118";"53-24";"";"";"";"0";"";"0";"";""
"119";"201-7";"";"";"";"0";"";"0";"";""
"120";"8163-1";"";"";"";"0";"";"0";"";""
"121";"5307-8";"";"";"";"0";"";"0";"";""
"122";"5274-20";"";"";"";"0";"";"0";"";""
"123";"15180-223";"";"";"";"0";"";"0";"";""
"124";"4818-1";"";"";"";"0";"";"0";"";""
"125";"438-88";"";"";"";"0";"";"0";"";""
"126";"751-43";"";"";"";"0";"";"0";"";""
"127";"317-22";"";"";"";"0";"";"0";"";""
"128";"5238-1";"";"";"";"0";"";"0";"";""
"129";"5443-13";"";"";"";"0";"";"0";"";""
"130";"1210-7";"";"";"";"0";"";"0";"";""
"131";"109-736";"";"";"";"0";"";"0";"";""
"132";"109-744";"";"";"";"0";"";"0";"";""
"133";"109-737";"";"";"";"0";"";"0";"";""
"134";"2835-9";"";"";"";"0";"";"0";"";""
"135";"213-1";"";"";"";"0";"";"0";"";""
"136";"5217-1";"";"";"";"0";"";"0";"";""
"138";"5273-2";"";"";"";"0";"";"0";"";""
"139";"5432-36";"";"";"";"0";"";"0";"";""
"140";"5639-3";"";"";"";"0";"";"0";"";""
"141";"1830-4";"";"";"";"0";"";"0";"";""
"142";"2707-21";"";"";"";"0";"";"0";"";""
"143";"7043-1";"";"";"";"0";"";"0";"";""
"144";"6687-465";"";"";"";"0";"";"0";"";""
"145";"265-2";"";"";"";"0";"";"0";"";""
"146";"3924-10";"";"";"";"0";"";"0";"";""
"147";"759-7";"";"";"";"0";"";"0";"";""
"148";"6289-1";"";"";"";"0";"";"0";"";""
"149";"5580-4";"";"";"";"0";"";"0";"";""
"150";"3215-35";"";"";"";"0";"";"0";"";""
"151";"3415-1";"";"";"";"0";"";"0";"";""
"152";"9076-7";"";"";"";"0";"";"0";"";""
"153";"905-6";"";"";"";"0";"";"0";"";""
"154";"3600-31";"";"";"";"0";"";"0";"";""
"155";"3013-24";"";"";"";"0";"";"0";"";""
"156";"1808-143";"";"";"";"0";"";"0";"";""
"157";"1866-1";"";"";"";"0";"";"0";"";""
"158";"3622-25";"";"";"";"0";"";"0";"";""
"159";"6623-14";"";"";"";"0";"";"0";"";""
"160";"1613-8";"";"";"";"0";"";"0";"";""
"161";"383-6";"";"";"";"0";"";"0";"";""
"162";"109-726";"";"";"";"0";"";"0";"";""
"163";"4618-15";"";"";"";"0";"";"0";"";""
"164";"383-7";"";"";"";"0";"";"0";"";""
"165";"57-11";"";"";"";"0";"";"0";"";""
"166";"3069-36";"";"";"";"0";"";"0";"";""
"167";"796-56";"";"";"";"0";"";"0";"";""
"168";"5669-13";"";"";"";"0";"";"0";"";""
"169";"2376-7";"";"";"";"0";"";"0";"";""
"170";"2793-14";"";"";"";"0";"";"0";"";""
"171";"3763-1";"";"";"";"0";"";"0";"";""
"172";"7188-2";"";"";"";"0";"";"0";"";""
"173";"1243-13";"";"";"";"0";"";"0";"";""
"174";"4989-12";"";"";"";"0";"";"0";"";""
"175";"5461-3";"";"";"";"0";"";"0";"";""
"176";"2437-5";"";"";"";"0";"";"0";"";""
"177";"1323-25";"";"";"";"0";"";"0";"";""
"178";"6406-54";"";"";"";"0";"";"0";"";""
"179";"80-3";"";"";"";"0";"";"0";"";""
"180";"6675-3";"";"";"";"0";"";"0";"";""
"181";"7810-29";"";"";"";"0";"";"0";"";""
"182";"15626-2";"";"";"";"0";"";"0";"";""
"183";"2530-8";"";"";"";"0";"";"0";"";""
"184";"5118-2";"";"";"";"0";"";"0";"";""
