id;rol;comuna;AH;valor_UF_m2_SII;valor_suelo_UF_SII;comercial_UF_estimado_rango;avaluo_fiscal_UF
2;159-1;Santiago;CMM013;74.38;914800;1,524,666-1,219,733;500146
6;7188-1, 7188-3 Y 7188-4;Penalolen;XBB020;3.72;25393;42,321-33,857;25515
7;36-10;Santiago;CMA064;53.78;161286;268,810-215,048;1233104
8;3963-7 Y 3963-8;Nunoa;HAA104;13.58;26155;43,592-34,873;75078
9;176-3 Y 176-4;Santiago;XMM011;54.29;120089;200,149-160,119;53006
11;5444-7;Estacion Central;HBB027;2.91;10202;17,004-13,603;8485
12;35-58;Santiago;CMA064;53.78;96804;161,340-129,072;222321
13;1230-8;Renca;XBB005;2.37;13611;22,685-18,148;22159
15;42-50;Santiago;XMM018;56.94;62349;103,916-83,132;55000
17;276-1;Santiago;CMM007;68.07;59697;99,496-79,597;642148
18;35-58;Santiago;CMA064;53.78;34957;58,262-46,609;222321
19;3513-3;Quinta Normal;XBB017;3.23;4522;7,537-6,029;7586
21;151-11;Penaflor;XMB026;2.59;6954;11,590-9,272;8897
22;1382-2;La Florida;CMB126;22.1;27448;45,747-36,598;28981
23;536-15;La Florida;HBB025;2.87;3444;5,740-4,592;4355
25;676-2;Santiago;CMM053;10.98;4776;7,960-6,368;16714
29;541-33;Renca;HBB014;2.95;1522;2,537-2,030;4408
30;3193-11;Recoleta;HBB014;2.78;556;927-741;859
31;"546-1; 546-2; 546-3";Renca;HBB014;2.34;669;1,115-892;2220
32;3519-18;Lo Barnechea;HBB007;5.5;197109;328,515-262,812;262503
33;84-1;Santiago;CMA064;53.78;2175186;3,625,310-2,900,248;627244
34;2516-39;La Florida;EMB540;4.02;171767;286,278-229,022;180983
36;603-1;Concepcion;XMB070;8.05;120645;201,076-160,860;44446
40;4031-81;Concepcion;HBB185;1.18;2195;3,658-2,926;2676
41;197-20;Talcahuano;XBB004;1.19;2463;4,106-3,284;3245
42;1352-23;Concepcion;HBB094;0.94;1090;1,817-1,454;3684
43;145-23;Concepcion;HMB041;8.54;6533;10,888-8,711;9609
44;64-24;Concepcion;XMM036;16.31;4697;7,829-6,263;7540
