ROL_SII;COMUNA;REG;__CAPA;__SERVICIO;Región;Comuna;Nombre;Instrumento;Administrador;Fecha publicación Diario Oficial;N° documento;Tipo documento;Localidad;Zona;Uso permitido;Uso prohibido;Nombre de zona;Fecha publicación en DO;Número de documento;Tipo de documento;Observación;Capa;Barrio;Nombre zona;Diario Oficial;Código único territorial;Sector;Diario oficial;Código Único Territorial;Documento;Normativa;LOC;ZONA;NOM;UPERM;UPROH;P_DO;N_DOC;T_DO;OBS
"44933";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"159-1";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1005-4";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107-254";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3240-1";"La Cisterna";"RM";"PRC_La_Cisterna";"PRC_RM_Sur";"Metropolitana";"La Cisterna";"";"";"";"";"";"";"La Cisterna";"AV";"Área verde.";"Todo uso no mencionado como permitido.";"AV Zona de Áreas Verdes";"07/08/2004";"2891";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7188-1, 7188-3 Y 7188-4";"Penalolen";"RM";"PRC_Peñalolén";"PRC_RM_Sur";"Metropolitana";"Peñalolen";"";"";"";"";"";"";"Peñalolen";"R.2";"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, molesta,*";"Zona R.2";"27/07/1989";"55";"Decreto";"129 de fecha 30.09.2004/ D.O. 03.11.04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36-10";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3963-7 Y 3963-8";"Nunoa";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Ñuñoa";"Límite urbano de Ñuñoa";"Plan Regulador Comunal de Ñuñoa";"Municipalidad de Ñuñoa";"27/10/1989";"129";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"176-3 Y 176-4";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5835-1";"San Miguel";"RM";"PRC_San_Miguel";"PRC_RM_Sur";"Metropolitana";"San Miguel";"";"";"";"";"";"";"San Miguel";"EM1";"Equipamiento de deporte, servicios, esparcimiento, comercio, social; Áreas verdes. Mayor detalle en Ordenanza.";"Residencial vivienda unifamiliar, colectiva; Equipamiento de comercio, servicios, culto y cultura, esparcimiento, seguridad, científico, salud; todo tipo de actividad productiva; infraestructura de transporte y sanitaria. Mayor detalle en ordenanza.";"EM1 Equipamiento metropolitana";"25/11/2016";"2500";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5444-7";"Estacion Central";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Estación Central";"Límite urbano de Estación Central";"Plan Regulador Comunal de Estación Central";"Municipalidad de Estación Central";"29/09/1993";"301";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35-58";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1230-8";"Renca";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Renca";"Límite urbano de Renca";"Plan Reguladro Comunal de Renca";"Municipalidad de Renca";"22/02/2022";"214";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35-32";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42-50";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6020-2";"La Granja";"RM";"PRC_La_Granja";"PRC_RM_Sur";"Metropolitana";"La Granja";"";"";"";"";"";"";"La Granja";"ZH-3";"Residencial, equipamiento comercial local, culto, deporte,  educación, salud, seguridad, servicios, social, oficina y científico; infraestructura sanitaria y energética; actividad productiva inofensiva; espacio público y áreas verdes.";"Equipamiento de esparcimiento, turismo y cementerio; actividad productiva peligrosa, molesta y contaminante; infraestructura de transporte.";"ZH-3 Zona Residencial Densidad Baja";"27/12/2012";"4039";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"276-1";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35-58";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3513-3";"Quinta Normal";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Quinta Normal";"Límite urbano de Quinta Normal";"Plan Regulador Comunal de Quinta Normal";"Municipalidad de Quinta Normal";"24/10/2019";"1381";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"109-745";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"151-11";"Penaflor";"RM";"PRC_Peñaflor";"PRC_RM_Sur";"Metropolitana";"Peñaflor";"";"";"";"";"";"";"Peñaflor";"Revisar PRMS";"Según PRMS";"Según PRMS";"Revisar PRMS";"09/02/1970";"108";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1382-2";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"Z-AA2";"Todos los usos no señalados como prohibidos en el artículo 41, numeral 9, letra B).";"Todos los usos señalados como prohibidos en el artículo 41, numeral 9, letra B), específicamente terminales de transporte terrestre, locales de compra-venta y exhibición de automóviles, camiones y similares que se desar*";"Z-AA2 Zona de Transición A Edificación Aislada Alta";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"536-15";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"PL";"Espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"PL Zona de Plazas";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"154-97";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"676-2";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2523-12";"San Bernardo";"RM";"PRC_San_Bernardo";"PRC_RM_Sur";"Metropolitana";"San Bernardo";"";"";"";"";"";"";"San Bernardo";"ZU1.1";"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio y social; espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"ZU1.1 Zona de Centro Comunal Plaza de Armas";"13/06/2006";"3855";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"362-159";"San Ramon";"RM";"PRC_San_Ramón";"PRC_RM_Sur";"Metropolitana";"San Ramón";"";"";"";"";"";"";"San Ramón";"Zona 6";"Residencial, además de establecimientos comerciales, o industriales agropecuarios con autorización especial de la Municipalidad.";"Todo uso no mencionado como permitido, en especial la instalación de industrias y artesanías.";"Zona 6 Quintas Residenciales 800 m2";"22/06/1952";"1469";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6434-14";"San Miguel";"RM";"PRC_San_Miguel";"PRC_RM_Sur";"Metropolitana";"San Miguel";"";"";"";"";"";"";"San Miguel";"Z-5";"Vivienda y hospedaje; Equipamiento de comercio, servicio, culto y cultura, esparcimiento, seguridad, educación, salud, deportivo, social; Talleres, industria inofensiva; Infraestructura de transporte, energética; Áreas verdes. Mayor detalle en Ordenan";"Equipamiento, mayor detalle en ordenanza; Actividad productiva, establecimientos industriales inofensivos, peligrosos, insalubres o contaminantes; infraestructura de transporte y sanitaria, Mayor detalle en Ordenanza.";"Z-5 Mixto";"25/11/2016";"2500";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"541-33";"Renca";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Renca";"Límite urbano de Renca";"Plan Reguladro Comunal de Renca";"Municipalidad de Renca";"22/02/2022";"214";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3193-11";"Recoleta";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Recoleta";"Límite urbano de Recoleta";"Plan Regulador Comunal de Recoleta";"Municipalidad de Recoleta";"08/01/2005";"104";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"546-1; 546-2; 546-3";"Renca";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Renca";"Límite urbano de Renca";"Plan Reguladro Comunal de Renca";"Municipalidad de Renca";"22/02/2022";"214";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3519-18";"Lo Barnechea";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Lo Barnechea";"Límite urbano de Lo Barnechea";"Plan Regulador Comunal de Lo Barnechea";"Municipalidad de Lo Barnechea";"04/09/2002";"1295";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"84-1";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2516-39";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"ED-6";"Equipamiento de comercio y deporte; espacio público y áreas verdes.";"Residencial; equipamiento; actividad productiva; infraestructura.";"ED-6 Estadio Municipal de La Florida (Audax Italiano)";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
