ROL_SII;COMUNA;REG;ZONA;NOMBRE_ZONA;USO_PERMITIDO;USO_PROHIBIDO;FECHA_DO;DOCUMENTO;OBSERVACION;SECTOR;INSTRUMENTO
44933;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
159-1;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
1005-4;Santiago;RM;H;Zona H-ERD Cub Hípico;Según lo dispuesto en el artículo 5.2.4.1 del Plan Regulador Metropolitano de Santiago o el texto que lo reemplace.;;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
107-254;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
3240-1;La Cisterna;RM;AV;AV Zona de Áreas Verdes;Área verde.;Todo uso no mencionado como permitido.;07/08/2004;Decreto 2891;;La Cisterna;PRC_La_Cisterna
7188-1, 7188-3 Y 7188-4;Penalolen;RM;R.2;Zona R.2;"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, molesta,*";27/07/1989;Decreto 55;129 de fecha 30.09.2004/ D.O. 03.11.04;Peñalolen;PRC_Peñalolén
36-10;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
3963-7 Y 3963-8;Nunoa;RM;Área de restricción;;;;27/10/1989;Decreto 129;uso prohibido no capturado (fusion captura 1);;PRC_Ñuñoa_AP
176-3 Y 176-4;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
5835-1;San Miguel;RM;EM1;EM1 Equipamiento metropolitana;"Equipamiento de deporte, servicios, esparcimiento, comercio, social; Áreas verdes. Mayor detalle en Ordenanza.";"Residencial vivienda unifamiliar, colectiva; Equipamiento de comercio, servicios, culto y cultura, esparcimiento, seguridad, científico, salud; todo tipo de actividad productiva; infraestructura de transporte y sanitaria. Mayor detalle en ordenanza.";25/11/2016;Decreto 2500;;San Miguel;PRC_San_Miguel
5444-7;Estacion Central;RM;IPD;IPD Zona mixta;Vivienda, equipamiento y bodegas inofensivas;;29/09/1993;Decreto 301;uso prohibido no capturado (fusion captura 1);;PRC_Estacion_Central
35-58;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
1230-8;Renca;RM;EP-1;Zona de equipamiento preferente1;"Residencial: vivienda, hospedaje; Equipamiento: científico, comercio, culto y cultura,  deportes, educación, salud, seguridad, servicios, social; Espacio Público; Áreas verdes.";;22/02/2022;Decreto 214;uso prohibido no capturado (fusion captura 1);;PRC_Renca
35-32;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
42-50;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
6020-2;La Granja;RM;ZH-3;ZH-3 Zona Residencial Densidad Baja;"Residencial, equipamiento comercial local, culto, deporte,  educación, salud, seguridad, servicios, social, oficina y científico; infraestructura sanitaria y energética; actividad productiva inofensiva; espacio público y áreas verdes.";"Equipamiento de esparcimiento, turismo y cementerio; actividad productiva peligrosa, molesta y contaminante; infraestructura de transporte.";27/12/2012;Decreto 4039;;La Granja;PRC_La_Granja
276-1;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
35-58;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
3513-3;Quinta Normal;RM;I;Eje preferente de equipamiento, comercio y servicios I;"Residencial: vivienda, hospedaje, hogares; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios y social; Espacio público y Área verde.";;24/10/2019;Decreto 1381;uso prohibido no capturado (fusion captura 1);;PRC_Quinta_Normal
109-745;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
151-11;Penaflor;RM;Revisar PRMS;Revisar PRMS;Según PRMS;Según PRMS;09/02/1970;Decreto 108;;Peñaflor;PRC_Peñaflor
1382-2;La Florida;RM;Z-AA2;Z-AA2 Zona de Transición A Edificación Aislada Alta;Todos los usos no señalados como prohibidos en el artículo 41, numeral 9, letra B).;Todos los usos señalados como prohibidos en el artículo 41, numeral 9, letra B), específicamente terminales de transporte terrestre, locales de compra-venta y exhibición de automóviles, camiones y similares que se desar*;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
536-15;La Florida;RM;PL;PL Zona de Plazas;Espacio público y áreas verdes.;Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
154-97;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
676-2;Santiago;RM;B;Zona B;"Residencial, vivienda y hospedaje; Equipamiento de todo tipo, con excepciones indicadas en a.2.1); Actividad productiva; Infraestructura de transporte y sanitaria, con excepciones; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
2523-12;San Bernardo;RM;ZU1.1;ZU1.1 Zona de Centro Comunal Plaza de Armas;"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio y social; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;13/06/2006;Decreto 3855;;San Bernardo;PRC_San_Bernardo
362-159;San Ramon;RM;Zona 6;Zona 6 Quintas Residenciales 800 m2;Residencial, además de establecimientos comerciales, o industriales agropecuarios con autorización especial de la Municipalidad.;Todo uso no mencionado como permitido, en especial la instalación de industrias y artesanías.;22/06/1952;Decreto 1469;;San Ramón;PRC_San_Ramón
6434-14;San Miguel;RM;Z-5;Z-5 Mixto;"Vivienda y hospedaje; Equipamiento de comercio, servicio, culto y cultura, esparcimiento, seguridad, educación, salud, deportivo, social; Talleres, industria inofensiva; Infraestructura de transporte, energética; Áreas verdes. Mayor detalle en Ordenan";"Equipamiento, mayor detalle en ordenanza; Actividad productiva, establecimientos industriales inofensivos, peligrosos, insalubres o contaminantes; infraestructura de transporte y sanitaria, Mayor detalle en Ordenanza.";25/11/2016;Decreto 2500;;San Miguel;PRC_San_Miguel
541-33;Renca;RM;HM-1;Zona habitacional mixta 1;"Residencial: vivienda, hogares de acogida, hospedaje; Equipamiento: científico, comercio, culto y cultura, deportes, educación, salud, seguridad, servicios, social; Espacio Público; Áreas verdes.";;22/02/2022;Decreto 214;uso prohibido no capturado (fusion captura 1);;PRC_Renca
3193-11;Recoleta;RM;Áreas verdes;Áreas verdes;Equipamiento intercomunal, comunal y vecinal de: áreas verdes y deporte, culto y cultura, esparcimiento y turismo al aire libre, como usos complementarios al principal de áreas verdes.;;08/01/2005;Resolución 104;uso prohibido no capturado (fusion captura 1);;PRC_Recoleta
"546-1; 546-2; 546-3";Renca;RM;HM-1;Zona habitacional mixta 1;"Residencial: vivienda, hogares de acogida, hospedaje; Equipamiento: científico, comercio, culto y cultura, deportes, educación, salud, seguridad, servicios, social; Espacio Público; Áreas verdes.";;22/02/2022;Decreto 214;uso prohibido no capturado (fusion captura 1);;PRC_Renca
3519-18;Lo Barnechea;RM;AR1V;;;;04/09/2002;Decreto 1295;uso prohibido no capturado (fusion captura 1);;PRC_Lo_Barnechea - Área de Riesgo
84-1;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
2516-39;La Florida;RM;ED-6;ED-6 Estadio Municipal de La Florida (Audax Italiano);"Equipamiento de comercio y deporte; espacio público y áreas verdes.";"Residencial; equipamiento; actividad productiva; infraestructura.";17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
2214-4;La Granja;RM;ZI-1;ZI-1 Zona Industrial Exclusiva;"Equipamiento comercial local, deporte, educación, salud, seguridad, servicios, social y científico; actividad productiva molesta e inofensiva; infraestructura sanitaria y energética; espacio público y áreas verdes.";"Residencial, equipamiento de culto, esparcimiento, oficina, turismo y cementerio; actividad productiva peligrosa y contaminante; infraestructura de t*";27/12/2012;Decreto 4039;;La Granja;PRC_La_Granja
